Cuntrycd,Stkcd,Stknme,Conme,Conme_en,Indcd,Indnme,Nindcd,Nindnme,Nnindcd,Nnindnme,Estbdt,Listdt,Favaldt,Curtrd,Ipoprm,Ipoprc,Ipocur,Nshripo,Parvcur,Ipodt,Parval,Sctcd,Statco,Crcd,Statdt,Commnt,Markettype
10,600393,粤泰股份,广州粤泰集团股份有限公司,"Guangzhou Yuetai Group Co.,Ltd.",3,房地产,J01,房地产开发与经营业,K70,房地产业,1988/12/26,2001/3/19,2001/3/19,CNY,80,180,CNY,27632,CNY,1993/1/8,100,1,A,,2017/4/27,,1
10,600395,盘江股份,贵州盘江精煤股份有限公司,"GUIZHOU PANJIANG REFINED COAL CO., LTD.",5,工业,B01,煤炭采选业,B06,煤炭开采和洗选业,1999/10/29,2001/5/31,2001/5/31,CNY,5,6,CNY,120000,CNY,2001/4/9,1,1,A,,2017/4/27,,1
10,600396,金山股份,沈阳金山能源股份有限公司,"Shenyang Jinshan Energy Co., Ltd.",5,工业,D01,电力、蒸汽、热水的生产和供应业,D44,电力、热力生产和供应业,1998/6/4,2001/3/28,2001/3/28,CNY,5,6,CNY,45000,CNY,2001/3/8,1,1,A,,2017/4/27,,1
10,600397,安源煤业,安源煤业集团股份有限公司,"ANYUAN COAL INDUSTRY GROUP CO., LTD. Ltd",5,工业,B01,煤炭采选业,B06,煤炭开采和洗选业,1999/12/30,2002/7/2,2002/7/2,CNY,4.99,5.99,CNY,80000,CNY,2002/6/17,1,1,A,,2017/4/27,,1
10,600398,海澜之家,海澜之家股份有限公司,"Heilan Home Co., Ltd.",5,工业,C13,服装及其他纤维制品制造业,C18,纺织服装、服饰业,1999/6/15,2000/12/28,2000/12/28,CNY,8.98,9.98,CNY,45000,CNY,2000/12/14,1,1,A,,2017/4/27,,1
10,600399,抚顺特钢,抚顺特殊钢股份有限公司,"Fushun Special Steel Co., Ltd.",5,工业,C65,黑色金属冶炼及压延加工业,C31,黑色金属冶炼及压延加工业,1999/6/7,2000/12/29,2000/12/29,CNY,4.5,5.5,CNY,120000,CNY,2000/12/13,1,1,A,,2017/7/17,,1
10,600400,红豆股份,江苏红豆实业股份有限公司,"Jiangsu Hongdou Industry Co., Ltd.",5,工业,C13,服装及其他纤维制品制造业,C18,纺织服装、服饰业,1998/9/11,2001/1/8,2001/1/8,CNY,6.4,7.4,CNY,50000,CNY,2000/12/21,1,1,A,,2017/5/2,,1
10,600401,*ST 海润,海润光伏科技股份有限公司,"Hareon Solar Technology Co.,Ltd.",5,工业,C57,其他电子设备制造业,C39,计算机、通信和其他电子设备制造业,2000/7/28,2003/9/24,2003/9/24,CNY,7,8,CNY,30000,CNY,2003/9/10,1,1,A,,2017/8/28,,1
10,600403,*ST 大有,河南大有能源股份有限公司,"HENAN DAYOU ENERGY CO., LTD.",5,工业,B01,煤炭采选业,B06,煤炭开采和洗选业,2000/11/21,2003/10/9,2003/10/9,CNY,5.67,6.67,CNY,30000,CNY,2003/9/17,1,1,A,,2017/4/27,,1
10,600405,动力源,北京动力源科技股份有限公司,"Beijing Dynamic Power Co., Ltd.",5,工业,C57,其他电子设备制造业,C39,计算机、通信和其他电子设备制造业,2000/12/23,2004/4/1,2004/4/1,CNY,7.29,8.29,CNY,30000,CNY,2004/3/17,1,1,A,,2017/6/8,,1
10,600406,国电南瑞,国电南瑞科技股份有限公司,Nari Technology Development Limited Company,2,公用事业,G87,计算机应用服务业,I65,软件和信息技术服务业,2001/2/28,2003/10/16,2003/10/16,CNY,9.39,10.39,CNY,40000,CNY,2003/9/24,1,1,A,,2017/6/8,,1
10,600408,安泰集团,山西安泰集团股份有限公司,"Shanxi Antai Group Co., Ltd.",5,工业,C65,黑色金属冶炼及压延加工业,C31,黑色金属冶炼及压延加工业,1993/7/29,2003/2/12,2003/2/12,CNY,4.09,5.09,CNY,70000,CNY,2003/1/20,1,1,A,,2017/4/27,,1
10,600409,三友化工,唐山三友化工股份有限公司,"TANGSHAN SANYOU CHEMICAL INDUSTRIES CO., LTD.",5,工业,C43,化学原料及化学制品制造业,C26,化学原料及化学制品制造业,1999/12/28,2003/6/18,2003/6/18,CNY,5,6,CNY,100000,CNY,2003/6/4,1,1,A,,2017/4/27,,1
10,600410,华胜天成,北京华胜天成科技股份有限公司,"Beijing Teamsun Technology Co., Ltd.",2,公用事业,G87,计算机应用服务业,I65,软件和信息技术服务业,2001/3/15,2004/4/27,2004/4/27,CNY,16.14,17.14,CNY,24000,CNY,2004/4/12,1,1,A,,2017/8/1,,1
10,600415,小商品城,浙江中国小商品城集团股份有限公司,"Zhejiang China Commodities City Group Co., Ltd.",2,公用事业,K2010,会计、统计、审计咨询服务业,L72,商务服务业,1993/12/28,2002/5/9,2002/5/9,CNY,0.6,1.6,CNY,29152,CNY,1993/12/1,1,1,A,,2017/4/27,,1
10,600416,湘电股份,湘潭电机股份有限公司,"XIANGTAN ELECTRIC MANUFACTURING CO., LTD.",5,工业,C71,普通机械制造业,C34,通用设备制造业,1999/12/26,2002/7/18,2002/7/18,CNY,4.6,5.6,CNY,75000,CNY,2002/7/3,1,1,A,,2017/4/27,,1
10,600418,江淮汽车,安徽江淮汽车集团股份有限公司,"Anhui Jianghuai Automobile Group Corp.,Ltd.",5,工业,C7505,汽车制造业,C36,汽车制造业,1999/9/30,2001/8/24,2001/8/24,CNY,8.9,9.9,CNY,88000,CNY,2001/7/26,1,1,A,,2017/4/27,,1
10,600419,天润乳业,新疆天润乳业股份有限公司,"Xinjiang Tianrun Dairy Co.,Ltd.",5,工业,C03,食品制造业,C14,食品制造业,1999/12/30,2001/6/28,2001/6/28,CNY,4.8,5.8,CNY,30000,CNY,2001/6/15,1,1,A,,2017/4/27,,1
10,600420,现代制药,上海现代制药股份有限公司,"SHANGHAI MODERN PHARMACEUTICAL CO., LTD.",5,工业,C81,医药制造业,C27,医药制造业,2000/12/20,2004/6/16,2004/6/16,CNY,7.08,8.08,CNY,33000,CNY,2004/6/1,1,1,A,,2017/4/27,,1
10,600421,仰帆控股,湖北仰帆控股股份有限公司,"Hubei Yangfan Holding Co., Ltd.",5,工业,C71,普通机械制造业,C34,通用设备制造业,1997/11/20,2004/6/7,2004/6/7,CNY,5.2,6.2,CNY,45000,CNY,2004/5/21,1,1,A,,2017/5/18,,1
10,600422,昆药集团,昆药集团股份有限公司,"KPC Pharmaceuticals, Inc.",5,工业,C81,医药制造业,C27,医药制造业,1995/12/14,2000/12/6,2000/12/6,CNY,9.22,10.22,CNY,40000,CNY,2000/11/16,1,1,A,,2017/4/27,,1
10,600423,*ST 柳化,柳州化工股份有限公司,"LIUZHOU CHEMICAL INDUSTRY CO., LTD.",5,工业,C43,化学原料及化学制品制造业,C26,化学原料及化学制品制造业,2001/3/6,2003/7/17,2003/7/17,CNY,5.96,6.96,CNY,60000,CNY,2003/7/2,1,1,A,,2017/9/21,,1
10,600425,*ST 青松,新疆青松建材化工(集团)股份有限公司,"Xinjiang Qingsong Building Materials and Chemicals (Group) Co., Ltd.",5,工业,C61,非金属矿物制品业,C30,非金属矿物制品业,2000/11/17,2003/7/24,2003/7/24,CNY,3.3,4.3,CNY,60000,CNY,2003/7/9,1,1,A,,2017/4/27,,1
10,600426,华鲁恒升,山东华鲁恒升化工股份有限公司,"Shandong Hualu-Hengsheng Chemical Co., Ltd.",5,工业,C43,化学原料及化学制品制造业,C26,化学原料及化学制品制造业,2000/4/26,2002/6/20,2002/6/20,CNY,5.28,6.28,CNY,60000,CNY,2002/6/5,1,1,A,,2017/4/27,,1
10,600428,中远海特,中远海运特种运输股份有限公司,"COSCO SHIPPING Specialized Carriers Co., Ltd.",2,公用事业,F07,水上运输业,G55,水上运输业,1999/12/8,2002/4/18,2002/4/18,CNY,6.39,7.39,CNY,130000,CNY,2002/4/3,1,1,A,,2017/4/27,,1
10,600429,三元股份,北京三元食品股份有限公司,"BEIJING SANYUAN FOODS CO., LTD.",5,工业,C03,食品制造业,C14,食品制造业,2001/2/28,2003/9/15,2003/9/15,CNY,1.6,2.6,CNY,150000,CNY,2003/8/29,1,1,A,,2017/7/31,,1
10,600432,*ST 吉恩,吉林吉恩镍业股份有限公司,"Ji Lin Ji En Nickel Industry Co., Ltd.",5,工业,C67,有色金属冶炼及压延加工业,C32,有色金属冶炼及压延加工业,2000/12/27,2003/9/5,2003/9/5,CNY,3.66,4.66,CNY,60000,CNY,2003/8/21,1,1,S,,2017/5/26,,1
