,Stkcd,Trddt,SpecificVar
12845,968,2014-05-01,0.008346757494135564
12846,968,2014-06-01,0.007992479566353104
12847,968,2014-07-01,0.00791610707557036
12848,968,2014-08-01,0.007889599489013351
12849,968,2014-09-01,0.007538562932550146
12850,968,2014-10-01,0.007179959697879874
12851,968,2014-11-01,0.0017443290166979481
12852,968,2014-12-01,0.0023792049021670873
12853,968,2015-05-01,0.0030224143733659312
12854,968,2015-06-01,0.0033258809245955527
12855,968,2015-07-01,0.00901693385681585
12856,968,2015-08-01,0.008630272576214912
12857,968,2015-09-01,0.008921170107068839
12858,968,2015-10-01,0.009202440232143888
12859,968,2015-11-01,0.009193853215460712
12860,968,2015-12-01,0.010892455595402724
12861,968,2016-08-01,0.010336037105217523
12862,968,2016-09-01,0.010071568011683801
12863,968,2016-10-01,0.01245710256542538
12864,968,2016-11-01,0.01414515182223749
12865,968,2016-12-01,0.014294679134024033
12877,969,2014-03-01,0.0031418362320020394
12878,969,2014-04-01,0.0034611624882553466
12879,969,2014-05-01,0.0035113169801364273
12880,969,2014-06-01,0.0033163141076728614
12881,969,2014-07-01,0.003205298070342136
12882,969,2014-08-01,0.0032493789085688064
12883,969,2014-09-01,0.004287921024977941
12884,969,2014-10-01,0.004264776298047912
12885,969,2014-11-01,0.004642684564338227
12886,969,2014-12-01,0.004536754511662037
12887,969,2015-01-01,0.004455050663838595
12888,969,2015-05-01,0.0029457528597005276
12889,969,2015-06-01,0.0037882379786139107
12890,969,2015-07-01,0.003291607717045463
12891,969,2015-08-01,0.0026242224052669062
12892,969,2015-09-01,0.003075038947050216
12893,969,2015-10-01,0.0029249179904875587
12894,969,2015-11-01,0.003901795696838443
12895,969,2015-12-01,0.004855026876231777
12896,969,2016-01-01,0.004515353107763947
12897,969,2016-02-01,0.004282876404071069
12898,969,2016-03-01,0.004136950018013553
12899,969,2016-04-01,0.005733815072437128
12900,969,2016-05-01,0.01085661221993963
12901,969,2016-06-01,0.010227379749441965
12902,969,2016-07-01,0.009769396905341902
12903,969,2016-08-01,0.00957223598449652
12904,969,2016-09-01,0.009904831726581477
12905,969,2016-10-01,0.00949908654270421
12906,969,2016-11-01,0.00875018315984487
12907,969,2016-12-01,0.008423964241938151
12919,970,2014-03-01,0.0017626657264798904
12920,970,2014-04-01,0.0019990756767451997
12921,970,2014-05-01,0.0019102100890432286
12922,970,2014-06-01,0.0018117904897784632
12923,970,2014-07-01,0.002208489079137898
12924,970,2014-08-01,0.002666468329132374
12925,970,2014-09-01,0.0025613628084767367
12926,970,2014-10-01,0.0023207752259299785
12927,970,2014-11-01,0.0022237752037571126
12928,970,2014-12-01,0.0022865796172211942
12929,970,2015-01-01,0.0021264192682780344
12930,970,2015-02-01,0.001779162477164306
12931,970,2015-03-01,0.0019858887712211858
12932,970,2015-04-01,0.0022152819763772533
12933,970,2015-05-01,0.009479989463291516
12934,970,2015-06-01,0.009159205655189748
12935,970,2015-07-01,0.008370337855279212
12936,970,2015-08-01,0.007167749703275678
12937,970,2015-09-01,0.006899483781019302
12938,970,2015-10-01,0.006731181363028644
12939,970,2015-11-01,0.006483138421706002
12940,970,2015-12-01,0.006250004603986244
12941,970,2016-01-01,0.005977873223685839
12942,970,2016-02-01,0.005210736729106477
12943,970,2016-03-01,0.00553209530598272
12944,970,2016-04-01,0.005290225728765756
12945,970,2016-05-01,0.00882947288893775
12946,970,2016-06-01,0.010470480786868111
12947,970,2016-07-01,0.009941189543301376
12948,970,2016-08-01,0.0101782321340047
12949,970,2016-09-01,0.00973375690315605
12950,970,2016-10-01,0.00905313065098942
12951,970,2016-11-01,0.008218866170976566
12952,970,2016-12-01,0.008214780288194867
12964,973,2014-03-01,0.006142235686189068
12965,973,2014-04-01,0.006558200442165649
